date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:51	848/848	URF---	200	added ('OK%20(cached)')	application/php		https://www.photoaccess.org.au/xmlrpc.php?rsd	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/xmlrpc0db0.php	(from https://www.photoaccess.org.au/)
20:39:04	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=1359	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle2785.js	(from https://www.photoaccess.org.au/see/exhibitions/anu-school-of-art-eass-residency-exhibition-award/)
20:39:05	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=2686	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundlef5aa.js	(from https://www.photoaccess.org.au/see/exhibitions/anu-school-of-art-eass-residency-exhibition-award-2/)
20:39:05	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=3451	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle1627.js	(from https://www.photoaccess.org.au/see/exhibitions/cit-graduate-residency-exhibition-award-exhibition/)
20:39:06	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:39:05%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/Running-to-New-York_WEB-1024x768.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/Running-to-New-York_WEB-1024x768.jpg	(from https://www.photoaccess.org.au/see/exhibitions/cit-graduate-residency-exhibition-award-exhibition/)
20:39:07	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:39:06%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/JaneDuong_Chimney-stack_web.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/JaneDuong_Chimney-stack_web.jpg	(from https://www.photoaccess.org.au/see/exhibitions/redbrickroad/)
20:39:08	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:39:07%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/JaneDuong_Machine-bay-II_web.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/JaneDuong_Machine-bay-II_web.jpg	(from https://www.photoaccess.org.au/see/exhibitions/redbrickroad/)
20:39:12	2466/2466	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fanu-school-of-art-eass-residency-exhibition-award%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embedb595	(from https://www.photoaccess.org.au/see/exhibitions/anu-school-of-art-eass-residency-exhibition-award/)
20:39:12	2386/2386	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fbreakitup%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embedd5fe	(from https://www.photoaccess.org.au/see/exhibitions/breakitup/)
20:39:13	2494/2494	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fanu-school-of-art-eass-residency-exhibition-award-2%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embedaf55	(from https://www.photoaccess.org.au/see/exhibitions/anu-school-of-art-eass-residency-exhibition-award-2/)
20:39:14	2465/2465	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fcit-graduate-residency-exhibition-award-exhibition%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embed3ad7	(from https://www.photoaccess.org.au/see/exhibitions/cit-graduate-residency-exhibition-award-exhibition/)
20:39:15	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:39:14%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/Cloakroom-Attendant-small_web-1024x520.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/Cloakroom-Attendant-small_web-1024x520.jpg	(from https://www.photoaccess.org.au/see/exhibitions/cloakroom-institutional/)
20:39:16	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:39:15%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/On-the-Presence-of-the-Public-small_web-683x1024.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/On-the-Presence-of-the-Public-small_web-683x1024.jpg	(from https://www.photoaccess.org.au/see/exhibitions/cloakroom-institutional/)
20:40:07	75/75	UR-M-Z	404	error ('Not%20Found')	application/json	date:Sat,%2020%20Apr%202019%2018:38:52%20GMT	https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2F	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embed00f2.json	(from https://www.photoaccess.org.au/)
20:40:09	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:40:08%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/DylanSmyth_Carrington-1-Promo_web-1024x683.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/DylanSmyth_Carrington-1-Promo_web-1024x683.jpg	(from https://www.photoaccess.org.au/see/exhibitions/a-construct/)
20:40:15	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=1037	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundleccbc.js	(from https://www.photoaccess.org.au/see/exhibitions/redbrickroad/)
20:40:18	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=167	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundleefda.js	(from https://www.photoaccess.org.au/see/exhibitions/cloakroom-institutional/)
20:40:19	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:40:18%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/09/Hardy_Lohse_Nancy_on_couch_2017_web-1024x683.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/09/Hardy_Lohse_Nancy_on_couch_2017_web-1024x683.jpg	(from https://www.photoaccess.org.au/see/exhibitions/other-peoples-lives/)
20:40:24	2401/2401	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fredbrickroad%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embed1e1b	(from https://www.photoaccess.org.au/see/exhibitions/redbrickroad/)
20:40:26	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=519	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundled5d0.js	(from https://www.photoaccess.org.au/see/exhibitions/a-construct/)
20:40:27	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:40:26%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/08/2017_Muse_JenniSavigny_resized_WEB-1024x819.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/08/2017_Muse_JenniSavigny_resized_WEB-1024x819.jpg	(from https://www.photoaccess.org.au/see/exhibitions/muse/)
20:40:31	2453/2453	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fcloakroom-institutional%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embed4882	(from https://www.photoaccess.org.au/see/exhibitions/cloakroom-institutional/)
20:40:35	2390/2390	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fa-construct%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embed479f	(from https://www.photoaccess.org.au/see/exhibitions/a-construct/)
20:40:37	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/json	date:Sat,%2020%20Apr%202019%2018:39:13%20GMT	https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fcloakroom-institutional%2F	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embedfa90.json	(from https://www.photoaccess.org.au/see/exhibitions/cloakroom-institutional/)
20:40:38	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:40:37%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/08/1.-Bob-McKendry-Training-night-2017-1024x683.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/08/1.-Bob-McKendry-Training-night-2017-1024x683.jpg	(from https://www.photoaccess.org.au/see/exhibitions/where-we-walk/)
20:40:39	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:40:38%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/08/2.-Lib-Ferreira-The-Crossing-2017-712x1024.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/08/2.-Lib-Ferreira-The-Crossing-2017-712x1024.jpg	(from https://www.photoaccess.org.au/see/exhibitions/where-we-walk/)
20:40:40	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:40:39%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/08/4.-Rosina-Wainwright-Murray-River-Cliffs-SA-2016-843x1024.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/08/4.-Rosina-Wainwright-Murray-River-Cliffs-SA-2016-843x1024.jpg	(from https://www.photoaccess.org.au/see/exhibitions/where-we-walk/)
20:41:19	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=3944	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle5c63.js	(from https://www.photoaccess.org.au/see/exhibitions/other-peoples-lives/)
20:41:21	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:41:20%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/08/2017_Invite_Davey_Final_E-1-1024x553.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/08/2017_Invite_Davey_Final_E-1-1024x553.jpg	(from https://www.photoaccess.org.au/see/exhibitions/next-generation-solomon-islands-after-ramsi/)
20:41:22	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2020%20Apr%202019%2018:41:21%20GMT	https://www.photoaccess.org.au/wp-content/uploads/2017/08/004_20170626_RAMSI_0003-1024x683.jpg	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/uploads/2017/08/004_20170626_RAMSI_0003-1024x683.jpg	(from https://www.photoaccess.org.au/see/exhibitions/next-generation-solomon-islands-after-ramsi/)
20:41:22	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=1262	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle1717.js	(from https://www.photoaccess.org.au/see/exhibitions/muse/)
20:41:22	2447/2447	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fother-peoples-lives%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embed2856	(from https://www.photoaccess.org.au/see/exhibitions/other-peoples-lives/)
20:41:22	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=3097	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle7ec5.js	(from https://www.photoaccess.org.au/see/exhibitions/where-we-walk/)
20:41:22	2355/2355	URF---	200	added ('OK%20(cached)')	application/octet-stream		https://www.photoaccess.org.au/wp-json/oembed/1.0/embed?url=%2Fsee%2Fexhibitions%2Fmuse%2F&format=xml	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-json/oembed/1.0/embeda47b	(from https://www.photoaccess.org.au/see/exhibitions/muse/)
20:41:22	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	application/javascript	etag:W/%225c8b14f6-5a21a%22	https://www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle.js?ver=807	/home/turinglinux/Bureau/MatBot/WebHttp/Site1/www.photoaccess.org.au/wp-content/themes/photoaccess/assets-built/js/bundle0643.js	(from https://www.photoaccess.org.au/see/exhibitions/next-generation-solomon-islands-after-ramsi/)
